,Sex,Age_range,Head_size,Brain_weight,Category
0,1,1,4512,1530,3
1,1,1,3738,1297,3
2,1,1,4261,1335,3
3,1,1,3777,1282,3
4,1,1,4177,1590,3
5,1,1,3585,1300,3
6,1,1,3785,1400,3
7,1,1,3559,1255,3
8,1,1,3613,1355,3
9,1,1,3982,1375,3
10,1,1,3443,1340,3
11,1,1,3993,1380,3
12,1,1,3640,1355,3
13,1,1,4208,1522,3
14,1,1,3832,1208,3
15,1,1,3876,1405,3
16,1,1,3497,1358,3
17,1,1,3466,1292,3
18,1,1,3095,1340,3
19,1,1,4424,1400,3
20,1,1,3878,1357,3
21,1,1,4046,1287,3
22,1,1,3804,1275,3
23,1,1,3710,1270,3
24,1,1,4747,1635,3
25,1,1,4423,1505,3
26,1,1,4036,1490,3
27,1,1,4022,1485,3
28,1,1,3454,1310,3
29,1,1,4175,1420,3
30,1,1,3787,1318,3
31,1,1,3796,1432,3
32,1,1,4103,1364,3
33,1,1,4161,1405,3
34,1,1,4158,1432,3
35,1,1,3814,1207,3
36,1,1,3527,1375,3
37,1,1,3748,1350,3
38,1,1,3334,1236,3
39,1,1,3492,1250,3
40,1,1,3962,1350,3
41,1,1,3505,1320,3
42,1,1,4315,1525,3
43,1,1,3804,1570,3
44,1,1,3863,1340,3
45,1,1,4034,1422,3
46,1,1,4308,1506,3
47,1,1,3165,1215,3
48,1,1,3641,1311,3
49,1,1,3644,1300,3
50,1,1,3891,1224,3
51,1,1,3793,1350,3
52,1,1,4270,1335,3
53,1,1,4063,1390,3
54,1,1,4012,1400,3
55,1,1,3458,1225,3
56,1,1,3890,1310,3
57,1,2,4166,1560,0
58,1,2,3935,1330,0
59,1,2,3669,1222,0
60,1,2,3866,1415,0
61,1,2,3393,1175,0
62,1,2,4442,1330,0
63,1,2,4253,1485,0
64,1,2,3727,1470,0
65,1,2,3329,1135,0
66,1,2,3415,1310,0
67,1,2,3372,1154,0
68,1,2,4430,1510,0
69,1,2,4381,1415,0
70,1,2,4008,1468,0
71,1,2,3858,1390,0
72,1,2,4121,1380,0
73,1,2,4057,1432,0
74,1,2,3824,1240,0
75,1,2,3394,1195,0
76,1,2,3558,1225,0
77,1,2,3362,1188,0
78,1,2,3930,1252,0
79,1,2,3835,1315,0
80,1,2,3830,1245,0
81,1,2,3856,1430,0
82,1,2,3249,1279,0
83,1,2,3577,1245,0
84,1,2,3933,1309,0
85,1,2,3850,1412,0
86,1,2,3309,1120,0
87,1,2,3406,1220,0
88,1,2,3506,1280,0
89,1,2,3907,1440,0
90,1,2,4160,1370,0
91,1,2,3318,1192,0
92,1,2,3662,1230,0
93,1,2,3899,1346,0
94,1,2,3700,1290,0
95,1,2,3779,1165,0
96,1,2,3473,1240,0
97,1,2,3490,1132,0
98,1,2,3654,1242,0
99,1,2,3478,1270,0
100,1,2,3495,1218,0
101,1,2,3834,1430,0
102,1,2,3876,1588,0
103,1,2,3661,1320,0
104,1,2,3618,1290,0
105,1,2,3648,1260,0
106,1,2,4032,1425,0
107,1,2,3399,1226,0
108,1,2,3916,1360,0
109,1,2,4430,1620,0
110,1,2,3695,1310,0
111,1,2,3524,1250,0
112,1,2,3571,1295,0
113,1,2,3594,1290,0
114,1,2,3383,1290,0
115,1,2,3499,1275,0
116,1,2,3589,1250,0
117,1,2,3900,1270,0
118,1,2,4114,1362,0
119,1,2,3937,1300,0
120,1,2,3399,1173,0
121,1,2,4200,1256,0
122,1,2,4488,1440,0
123,1,2,3614,1180,0
124,1,2,4051,1306,0
125,1,2,3782,1350,0
126,1,2,3391,1125,0
127,1,2,3124,1165,0
128,1,2,4053,1312,0
